SlideNumber,SlideCategory,SlideTitle,SlideSubtitle,Point1,Point2,Point3,Point4,GoldBadge
1,TỔNG QUAN DỰ ÁN,LUXE MOTORS VER 2.0,Hệ Thống Phân Phối & Trải Nghiệm Siêu Xe Concierge,Đặng Quang Tuấn (Developer),Phiên Bản Ver 2.0 Production,Hotline 0372 950 720,Decoupled React 18 & Node.js,PRODUCTION READY
2,01. SỨ MỆNH THƯƠNG HIỆU,Sứ Mệnh Phân Phối Siêu Xe VIP,Chuyển đổi số toàn diện quy trình mua sắm siêu xe cao cấp,💎 Trải nghiệm Khách VIP 360° & Concierge,🏢 Vận hành Doanh nghiệp với RBAC 6 Roles,🛡️ Chất lượng kỹ thuật xử lý 44 Issue Audit,📞 Hotline VIP đồng bộ 0372 950 720,VIP CONCIERGE
3,02. KIẾN TRÚC KỸ THUẬT,Kiến Trúc Decoupled Client-Server,Tách biệt Frontend SPA và Backend RESTful API độc lập,🎨 Frontend: React 18 + Vite + Tailwind CSS,⚙️ Backend: Node.js + Express RESTful API,🗄️ Database: Cloud MongoDB Atlas + Mongoose,🔒 Auth: Dual Token JWT (HttpOnly Cookie),TECH STACK
4,03. CƠ SỞ DỮ LIỆU,Mô Hình Dữ Liệu Cloud MongoDB (8 Schemas),Chuẩn hóa NoSQL tối ưu hóa cho đọc/ghi dữ liệu siêu xe,👤 User: Tài khoản & RBAC 6 roles,🏎️ Car: Giá VNĐ & stockCount realtime,📦 Order: Đơn cọc 10-30% & VietQR,📅 Appointment: Lịch concierge lái thử,DATABASE
5,04. XỬ LÝ GIAO DỊCH,Mongoose Client Session ACID Transaction,Bảo đảm atomicity trừ kho xe và tạo đơn cọc đồng thời,⚡ Khởi tạo mongoose.startSession(),🔄 Car.findOneAndUpdate trừ stockCount,📝 Order.create lưu đơn cọc trong session,🛡️ Commit nếu công hoặc Abort nếu lỗi,ACID TRANSACTION
6,05. PHÂN QUYỀN RBAC,Ma Trận Phân Quyền 6 Phân Hệ (RBAC),Xác thực 100% dữ liệu thực tế trên Cloud MongoDB Atlas,👤 Khách VIP (khachvip@gmail.com) -> /orders,🎧 CSKH (cskh@luxemotors.com) -> /cskh,🛍️ Sales (sales@luxemotors.com) -> /sales,👔 Quản Lý & Giám Đốc Exec -> /manager /director,SECURITY RBAC
7,06. TRẢI NGHIỆM KHÁCH VIP,Thiết Kế UI/UX Pro Max & Loading Screen,Đồng bộ hệ ngôn ngữ thiết kế Obsidian & Gold sang trọng,🔤 Font Jost Geometric Sans + Cormorant Garamond,💎 LoadingScreen kim cương mạ vàng (sessionStorage),📜 VIP PolicyModal 3 tab (Bảo mật 256-bit NDA),🚗 Smooth Scroll & Floating Scroll To Top,DESIGN SYSTEM
8,07. THANH TOÁN SIÊU XE,Thẻ Mã QR VietinBank & PayOS Gateway,Tái tạo 100% thẻ QR chuẩn VietinBank cho đơn cọc hàng tỷ VNĐ,💳 STK 108879666470 - DANG QUANG TUAN VietinBank,⚡ Copy 1-Click STK / Số tiền / Nội dung cọc,🖼️ Tải ảnh QR & Đếm ngược 15:00 giữ chỗ,🔒 PayOS SDK Webhook HMAC-SHA256 Verification,VIETQR VIETINBANK
9,08. AI CHATBOT & SECURITY,AI Chatbot Concierge & Dual Token Security,Tương tác thông minh 24/7 và bảo vệ lớp xác thực hệ thống,🤖 AI Chatbot Google Gemini (Prompt VIP),🔗 Link siêu xe bấm mở tab mới target="_blank",🔑 Access Token 15m + Refresh Cookie 7d,⚡ Axios Interceptor tự động Refresh 401,AI & SECURITY
10,09. PHÂN HỆ GIÁM ĐỐC,Phân Hệ Giám Đốc Exec (/director),Bảng điều khiển chiến lược theo dõi doanh thu realtime,📊 Doanh thu bàn giao xe & Lợi nhuận gộp,🎯 Thanh tiến độ chỉ tiêu Quý 3 (300 Tỷ VNĐ),✍️ Nút Duyệt Ưu Đãi Giám Đốc 1-Click,📈 Biểu đồ tỷ trọng doanh số theo hãng siêu xe,EXEC DASHBOARD
11,10. PHÂN HỆ QUẢN LÝ,Phân Hệ Quản Lý Showroom (/manager),Quản trị kho xe tức thời và điều phối nguồn lực kinh doanh,📦 Điều chỉnh tồn kho xe (+1/-1 Realtime),🛡️ Phê duyệt hạn mức cọc siêu xe Hypercar,👥 Phân bổ Lead tiềm năng cho Sales Executive,🔄 Nút Cập Nhật Realtime Cloud MongoDB,SHOWROOM MANAGER
12,11. PHÂN HỆ SALES,Phân Hệ Sales & Phân Loại Lead Intent,Thuật toán chấm điểm thông minh HOT🔴 / WARM🟡 / COLD🔵,🎯 Điểm intent: Email DN (+2), Từ khóa buy (+1),🔴 HOT Lead (>=5) ưu tiên lên đầu danh sách,📄 Quản lý báo giá VIP & Tiến độ hợp đồng,🛍️ Theo dõi doanh số cá nhân rải đều 8 tháng,SALES EXECUTIVE
13,12. PHÂN HỆ CSKH,Phân Hệ Chăm Sóc Khách Hàng (/cskh),Quản lý lịch hẹn Concierge và lưu nhật ký tư vấn VIP,📅 Xác nhận lịch hẹn Concierge & Showroom,📝 Modal lưu Nhật Ký Cuộc Gọi CSKH vào DB,📞 Hotline VIP 0372 950 720 đồng bộ 100%,🎧 Xử lý phản hồi & Đón tiếp đại gia tận nhà,CUSTOMER CARE
14,13. THÔNG BÁO ĐA KÊNH,Điều Phối Thông Báo Đa Kênh (Email & Zalo),Kiến trúc gửi tin bất đồng bộ không gây chậm API chính,⚡ Asynchronous Orchestrator (Promise.allSettled),📧 Email Nodemailer Obsidian Gold (4 Sự kiện),💬 Zalo Official Account API (Native Fetch),📢 Lưu nhật ký chi tiết vào NotificationLog DB,NOTIFICATION ENGINE
